audio,text,language,confidence,emotion
lkoE35dp43U_SPEAKER_00_2.wav,Meenpidi thadai kaalam niraivadainthaththai thodarnthu Tamil Nadu kadarkarai paguthiyil aayiram meenavargal nethu padagugalil kadalukku purappattu sendranar.,ta-IN,1,formal
Ddla1llc7oQ_SPEAKER_00_0.wav,"Periya periya vishayangalai saadhikka pala varushangal thaan aaganumnu avasiyam illa. Oru anju nimisham manifestation kooda adhai nijamaakki kaattum. Unga aasaigalaiyum kanavugalaiyum manifest panrathu, adhaavathu nijamaakka muyarchi panrathu oru kadinamaana vishayamaa irukkum.",ta-IN,1,calm
gMNM_MMpgPI_SPEAKER_00_3.wav,Enakku ettaatha uyaramana kanmalaila ennai kondu poyvidum.,ta-IN,1,neutral
Sp8cgwNYk9Y_SPEAKER_00_2.wav,"Beirut attack-ku padhiladi koduththa Iran, thaanathu puthiya raanuva attack kolkaigalai mikavum perumaiyaaga indru ariviththathu.",ta-IN,1,formal
TOzopKmdRoM_SPEAKER_00_0.wav,Karthar en meypparaai irukkiraar. Naan thaazhchi adaiyen.,ta-IN,1,formal
Nvh5Rtu57BM_SPEAKER_00_6.wav,Enakku adaikkalamaay irukkira unnathamaana Kartharai unakku thaabaramaaga kondaai. Aagaiyaal polaappu unakku neridaathu. Vaadhai un koodaaraththai anugaathu.,ta-IN,1,neutral
Ddla1llc7oQ_SPEAKER_00_1.wav,Sila samayangalla namma ethuvume ethirpaarkkaamaleye nalla vishayangal namaku nadakkum. Ok ok theriyuthu enakku. Neengalum adhaane yosikkireenga. Intha manifestation-a eppadi thaan appa purinjikkirathu appadinu yosikkireenga. Ungaloda mind voice enakku appave ketturuchu. Unmaiya sollanumnaa athu avvalavu easy-aana process-um kidaiyaathu. Aennaa athu neenga just manasukkulla mattum vithaikkira oru vishayam illa. Rather oru short time-la universe adhaavathu intha prabandhathoda connect panra vishayam athu.,ta-IN,1,calm
gMNM_MMpgPI_SPEAKER_00_12.wav,Umathu naamaththai endraikkum keerthanam pannuvaen.,ta-IN,1,formal
Sp8cgwNYk9Y_SPEAKER_00_0.wav,Innaia mukkiya ulaga seithigaludan vanthiruppathu ungalin seithi vaasippaalar Shreya. Seithigal idho.,ta-IN,1,formal
lkoE35dp43U_SPEAKER_00_3.wav,100% ethanol kalandha eriporulil vaaganam iyakka mathiya arasu puthiya anumathi nethu adhigaarapoorvamaaga vazhangiyathu. Minsaarathuraiyil vellai arikkai miga viraivil veliyidappadum ena Minsaarathurai amaichar nethu uruthiyaliththaar.,ta-IN,1,formal
TOzopKmdRoM_SPEAKER_00_3.wav,"Naan marana irulin pallaththaakkile nadandhaalum, pollaappukku bayappaden. Devarir ennodae kooda irukkireer. Umadhu kolum umadhu thadiyum ennai theerthum. En sathrukkalukku munbaga neer enakku oru pandhiyai aayaththappaduththi, en thalaiyai ennaiyaal abhishekam pannugireer.",ta-IN,1,formal
