audio,text,language,confidence,emotion
Xk577wVV2Sk_SPEAKER_00_6.wav,Let's celebrate those imperfections that make us special.,en-IN,1,happy
3k_wxTkYN50_SPEAKER_00_1.wav,This was because I started my mental health journey when I was only 6 years old.,en-IN,1,neutral
pxOI0SnfsWE_SPEAKER_00_4.wav,"We, you know, are kids and then we become adults and we spend so much time trying to push our life into some sort of stable routine.",en-IN,1,neutral
Xk577wVV2Sk_SPEAKER_00_5.wav,"We all want what everyone wants, to dream and to achieve.",en-IN,1,neutral
pxOI0SnfsWE_SPEAKER_00_6.wav,"It's not about taking risks, it's about getting outside your comfort zone.",en-IN,1,neutral
3k_wxTkYN50_SPEAKER_00_5.wav,"And school got really overwhelming sometimes. This resulted in a lot of breakdowns, panic attacks. Sometimes I was super productive, and other days I couldn't get anything done.",en-IN,1,sad
3k_wxTkYN50_SPEAKER_00_4.wav,This made growing up pretty hard. I was worried about a lot of things that other kids weren't.,en-IN,1,sad
R3kBTJ-SBiM_SPEAKER_00_3.wav,Or we have the complete opposite where someone totally doesn't change your tempo or their inflection at all.,en-IN,1,neutral
1JtmvfFV_S8_SPEAKER_00_1.wav,and steroids to accumulate that kind of look.,en-IN,1,neutral
8L-GrDV0Gqw_SPEAKER_00_1.wav,"or a coffee shop. And how many times have you been asked something, let's say,",en-IN,1,neutral
Y5Gmuq6y9l8_SPEAKER_00_5.wav,"Not only to become aware of how you spend your time, but how you can spend less so you have more ideas.",en-IN,1,neutral
1JtmvfFV_S8_SPEAKER_00_4.wav,"Or when you're first starting, you can even just lift your own body weight. Your older self will thank you.",en-IN,1,neutral
vZ46Ov1zncY_SPEAKER_00_2.wav,"It's what we use when we need to break away from habit, inhibit our impulses, and plan ahead.",en-IN,1,neutral
lhyN-nElBlQ_SPEAKER_00_2.wav,Or are they doing it to make you more comfortable and convenient for them?,en-IN,1,neutral
-OiCXpYQIWI_SPEAKER_00_5.wav,"I help new authors get published faster. Can you hear the difference? One describes me, the other describes what I can do for you.",en-IN,1,neutral
wHeBBX3DZj8_SPEAKER_00_0.wav,"My wife would come to me and say, I've had a really tough day.",en-IN,1,neutral
R3kBTJ-SBiM_SPEAKER_00_5.wav,There's never a statement. And what we know is that it is actually preventing people from getting jobs because they're completely unsure of themselves. We can train those individual elements of voice brand.,en-IN,1,formal
lhyN-nElBlQ_SPEAKER_00_1.wav,"It can look like care, but it's actually control, and there's only one way to know.",en-IN,1,formal
Y5Gmuq6y9l8_SPEAKER_00_0.wav,"To when your best, most brilliant ideas strike you, you're rarely focused on something. I call this mode scatter focus. And the research shows that it lets our mind come up with ideas, it lets our mind plan because of where our mind wanders to. I'm an anti-hustler.",en-IN,1,happy
xmQVy2w3FyQ_SPEAKER_00_3.wav,"such as by savoring our daily experiences, planning for our time as carefully as we plan our money, and holding ourselves accountable, such as by creating time affluence to-do lists.",en-IN,1,neutral
1JtmvfFV_S8_SPEAKER_00_3.wav,You can lift weights. You can lift your groceries. You can lift your children.,en-IN,1,neutral
d6IYVBk2jpI_SPEAKER_00_0.wav,"Every couple is different, I've found. I know people who are each other's best friends. They like to travel together, they walk and hold hands, and I have friends who are in relationships where they talk like every hour.",en-IN,1,neutral
wHeBBX3DZj8_SPEAKER_00_2.wav,It creates no space for her to be heard or to feel connected with.,en-IN,1,neutral
Ag_a3VAQlgk_SPEAKER_00_2.wav,"It's not hot at all. It's because it's reflecting that light. In fact, the coolest place in a garden on a hot summer day is where? It's under a tree.",en-IN,1,neutral
pxOI0SnfsWE_SPEAKER_00_3.wav,"And if you think about your life, it's kind of funny because",en-IN,1,neutral
3k_wxTkYN50_SPEAKER_00_0.wav,I was allowed to take three mental health rest days every semester as long as I continued to do well in school.,en-IN,1,neutral
-OiCXpYQIWI_SPEAKER_00_0.wav,"It doesn't matter how smart you are, it doesn't matter how perfect a fit you are if you can't capture someone's attention.",en-IN,1,neutral
pxOI0SnfsWE_SPEAKER_00_2.wav,"And I mean force. So when I say force, anything that's a break from your routine is gonna require force.",en-IN,1,neutral
ikzwfydV37E_SPEAKER_00_5.wav,So saying let them allows you to stop lying to yourself.,en-IN,1,neutral
