start,end,speaker
0.49,1.31,SPEAKER_00
1.75,2.82,SPEAKER_00
4.27,8.7,SPEAKER_00
9.57,17.01,SPEAKER_00
17.82,19.96,SPEAKER_00
20.25,22.78,SPEAKER_00
23.44,26.12,SPEAKER_00
26.83,33.26,SPEAKER_00
34.41,36.35,SPEAKER_00
36.72,38.4,SPEAKER_00
38.93,44.97,SPEAKER_00
45.91,47.69,SPEAKER_00
47.97,52.46,SPEAKER_00
53.34,58.44,SPEAKER_00
59.04,69.35,SPEAKER_00
70.06,75.77,SPEAKER_00
76.56,78.7,SPEAKER_00
79.04,82.26,SPEAKER_00
83.24,84.36,SPEAKER_00
84.64,90.53,SPEAKER_00
91.29,95.34,SPEAKER_00
95.51,100.1,SPEAKER_00
101.01,106.02,SPEAKER_00
106.82,111.76,SPEAKER_00
112.74,115.1,SPEAKER_00
115.32,117.72,SPEAKER_00
